Stack,Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"cda-iceberg-emr","AwsSolutions-EC27","cda-iceberg-emr/ComputeSg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"cda-iceberg-emr","AwsSolutions-IAM4","cda-iceberg-emr/EmrJobRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::cda-cda-iceberg-artifacts-111111111111-us-east-1/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::cda-cda-iceberg-logs-111111111111-us-east-1/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:s3:::test-source-bucket/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::<CdaTableBucket.TableBucketARN>/*] Object-level wildcard on explicitly-pinned bucket ARNs (artifact, logs, CDA source, S3 Tables warehouse). S3 GetObject/PutObject require <bucket>/* — object keys (parquet partitions, jar versions, Iceberg metadata) are not enumerable at synth time. The bucket ARNs are fixed; no service-level s3:* or Resource:* is granted.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-IAM5","cda-iceberg-emr/EmrJobRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:logs:us-east-1:111111111111:log-group:/aws/emr-serverless/*] CloudWatch Logs delivery for EMR Serverless monitoring. EMR creates one log group per application/job under /aws/emr-serverless/*; the group names are not known at deploy time. Scoped to this account, this region, and the /aws/emr-serverless/ prefix.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-network","AwsSolutions-VPC7","cda-iceberg-network/CdaVpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"cda-iceberg-network","AwsSolutions-IAM4","cda-iceberg-network/CdaVpc/FlowLog/IAMRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-network","AwsSolutions-IAM5","cda-iceberg-network/CdaVpc/FlowLog/IAMRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-network","AwsSolutions-IAM5","cda-iceberg-network/CdaVpc/FlowLog/IAMRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-DDB3","cda-iceberg-orchestration/LaunchConditionState/Resource","Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/EmrJobRoleForCursorAdvance/Policy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM4","cda-iceberg-orchestration/LaunchConditionRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole grants the function write access to its own CloudWatch log group only. AWS-recommended logging baseline; not a broad data-plane grant.","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/LaunchConditionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/LaunchConditionRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-L1","cda-iceberg-orchestration/LaunchConditionFn/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"cda-iceberg-orchestration","AwsSolutions-SNS3","cda-iceberg-orchestration/NotificationTopic/Resource","Compliant","N/A","Error","The SNS Topic does not require publishers to use SSL."
"cda-iceberg-orchestration","AwsSolutions-IAM4","cda-iceberg-orchestration/StateMachineRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::<LaunchConditionFnA5F4BB61.Arn>:*] lambda:InvokeFunction <fn-arn>:* — the trailing :* is the function VERSION/alias qualifier that CDK appends automatically. The function ARNs themselves (launch-condition, recon-list) are pinned; this does not widen invocation beyond those two functions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::<ReconListFnA9BC40E8.Arn>:*] lambda:InvokeFunction <fn-arn>:* — the trailing :* is the function VERSION/alias qualifier that CDK appends automatically. The function ARNs themselves (launch-condition, recon-list) are pinned; this does not widen invocation beyond those two functions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:emr-serverless:us-east-1:111111111111:/applications/<ServerlessApp.ApplicationId>/jobruns/*] emr-serverless:GetJobRun on /applications/<app-id>/jobruns/* — job-run IDs are generated by EMR at StartJobRun time and are not knowable at deploy time. Scoped to this account, region, and the single EMR application; cannot read job runs of any other application.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachineRole/DefaultPolicy/Resource","Suppressed","[Resource::*] CloudWatch Logs log-delivery + X-Ray trace APIs require Resource:* by AWS design — these actions (CreateLogDelivery, PutTraceSegments, etc.) have no resource-level ARN to scope to. This statement is generated by the CDK StateMachine construct when logging+tracing are enabled (both of which are security improvements we deliberately turned on).","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-SF1","cda-iceberg-orchestration/StateMachine/Resource","Compliant","N/A","Error","The Step Function does not log ""ALL"" events to CloudWatch Logs."
"cda-iceberg-orchestration","AwsSolutions-SF2","cda-iceberg-orchestration/StateMachine/Resource","Compliant","N/A","Error","The Step Function does not have X-Ray tracing enabled."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""StateMachine2E01A3A5""}]}]}:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""StateMachine2E01A3A5""}]}]}/*:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM4","cda-iceberg-orchestration/StateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/StateMachine/EventsRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM4","cda-iceberg-orchestration/ReconListRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole grants the function write access to its own CloudWatch log group only. AWS-recommended logging baseline; not a broad data-plane grant.","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconListRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconListRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-L1","cda-iceberg-orchestration/ReconListFn/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"cda-iceberg-orchestration","AwsSolutions-SF1","cda-iceberg-orchestration/ReconStateMachine/Resource","Compliant","N/A","Error","The Step Function does not log ""ALL"" events to CloudWatch Logs."
"cda-iceberg-orchestration","AwsSolutions-SF2","cda-iceberg-orchestration/ReconStateMachine/Resource","Compliant","N/A","Error","The Step Function does not have X-Ray tracing enabled."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""ReconStateMachine8641C349""}]}]}:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/DistributedMapPolicy/Resource","Suppressed","[Resource::arn:aws:states:us-east-1:111111111111:execution:{""Fn::Select"":[6,{""Fn::Split"":["":"",{""Ref"":""ReconStateMachine8641C349""}]}]}/*:*] Distributed Map child-execution grant (states:StartExecution/DescribeExecution/StopExecution). Child execution IDs are runtime-generated; the ARN is scoped to this state machine's own executions. AWS-required for Distributed Map; no narrower form.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM4","cda-iceberg-orchestration/ReconStateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/EventsRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-orchestration","AwsSolutions-IAM5","cda-iceberg-orchestration/ReconStateMachine/EventsRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-runtime","AwsSolutions-S1","cda-iceberg-runtime/Logs/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"cda-iceberg-runtime","AwsSolutions-S2","cda-iceberg-runtime/Logs/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"cda-iceberg-runtime","AwsSolutions-S5","cda-iceberg-runtime/Logs/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"cda-iceberg-runtime","AwsSolutions-S10","cda-iceberg-runtime/Logs/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"cda-iceberg-runtime","AwsSolutions-S10","cda-iceberg-runtime/Logs/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"cda-iceberg-runtime","AwsSolutions-S1","cda-iceberg-runtime/Artifacts/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"cda-iceberg-runtime","AwsSolutions-S2","cda-iceberg-runtime/Artifacts/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"cda-iceberg-runtime","AwsSolutions-S5","cda-iceberg-runtime/Artifacts/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"cda-iceberg-runtime","AwsSolutions-S10","cda-iceberg-runtime/Artifacts/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"cda-iceberg-runtime","AwsSolutions-S10","cda-iceberg-runtime/Artifacts/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
